"id","name","description","strategy_criteria","buy_entry","buy_exit","sell_entry","sell_exit","sl_criteria","trlg_criteria","trlg_option","active"
"1109","Price-Cr-Ema500-SL-NoTh","Price-Cr-Ema500-SL-NoTh","prev_ema500","( curr_close > curr_ema500 && prev_close < prev_ema500 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema500 && prev_close > prev_ema500 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1110","Price-Cr-Ema550-SL-NoTh","Price-Cr-Ema550-SL-NoTh","prev_ema550","( curr_close > curr_ema550 && prev_close < prev_ema550 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema550 && prev_close > prev_ema550 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1111","Price-Cr-Ema600-SL-NoTh","Price-Cr-Ema600-SL-NoTh","prev_ema600","( curr_close > curr_ema600 && prev_close < prev_ema600 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema600 && prev_close > prev_ema600 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1112","Price-Cr-Ema650-SL-NoTh","Price-Cr-Ema650-SL-NoTh","prev_ema650","( curr_close > curr_ema650 && prev_close < prev_ema650 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema650 && prev_close > prev_ema650 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1113","Price-Cr-Ema700-SL-NoTh","Price-Cr-Ema700-SL-NoTh","prev_ema700","( curr_close > curr_ema700 && prev_close < prev_ema700 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema700 && prev_close > prev_ema700 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1114","Price-Cr-Ema750-SL-NoTh","Price-Cr-Ema750-SL-NoTh","prev_ema750","( curr_close > curr_ema750 && prev_close < prev_ema750 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema750 && prev_close > prev_ema750 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1115","Price-Cr-Ema800-SL-NoTh","Price-Cr-Ema800-SL-NoTh","prev_ema800","( curr_close > curr_ema800 && prev_close < prev_ema800 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema800 && prev_close > prev_ema800 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1116","Price-Cr-Ema850-SL-NoTh","Price-Cr-Ema850-SL-NoTh","prev_ema850","( curr_close > curr_ema850 && prev_close < prev_ema850 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema850 && prev_close > prev_ema850 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1117","Price-Cr-Ema900-SL-NoTh","Price-Cr-Ema900-SL-NoTh","prev_ema900","( curr_close > curr_ema900 && prev_close < prev_ema900 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema900 && prev_close > prev_ema900 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1118","Price-Cr-Ema950-SL-NoTh","Price-Cr-Ema950-SL-NoTh","prev_ema950","( curr_close > curr_ema950 && prev_close < prev_ema950 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema950 && prev_close > prev_ema950 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
